"year";"city";"overall";"rankings";"student_mix";"desirability";"emp_activity";"affordability";"student_view";"unis_Ranked";"highestUniv";"population";"avgIntFees";"country";"continent"
"2017";"Valencia";263;76;25;55;56;9;42;"2";"Universidad Politecnica de Valencia ";"1706000";"1600";"Spain";"Europe"
"2018";"Helsinki";263;3;39;84;57;41;39;"2";"University of Helsinki ";"1442000";"22900";"Finland";"Europe"
"2016";"Quebec";262;55;33;82;69;19;4;"2";"Laval University ";"806000";"13900";"Canada";"North America"
"2018";"Athens";262;74;15;44;48;18;63;"3";"National Technical University of Athens ";"3754000";"800";"Greece";"Europe"
"2016";"San Diego";261;22;40;58;57;49;35;"3";"University of California, San Diego (UCSD) ";"3095000";"18700";"United States";"North America"
"2016";"Valencia";258;76;20;61;61;11;29;"2";"Universidad Politecnica de Valencia ";"1706000";"1600";"Spain";"Europe"
"2018";"St. Petersburg";258;83;41;27;47;30;30;"2";"Saint-Petersburg State University ";"4880000";"4600";"Russia";"Europe"
"2018";"Johannesburg";257;78;22;32;44;17;64;"2";"University of the Witwatersrand ";"4435000";"4000";"South Africa";"Africa"
"2018";"Toulouse";257;67;29;44;77;10;30;"3";"Université Paul Sabatier Toulouse III ";"1292000";"500";"France";"Europe"
"2016";"Daejeon";256;62;60;49;33;46;6;"2";"KAI - Korea Advanced Initute of Science a Technology";"1535000";"4800";"South Korea";"Asia"
"2018";"San Diego";256;25;13;64;63;52;39;"3";"University of California, San Diego (UCSD) ";"3095000";"18700";"United States";"North America"
"2016";"Gold Coast";255;51;29;70;68;17;20;"3";"Griffith University ";"614000";"23600";"Australia";"Oceania"
"2017";"Quebec";255;53;26;86;68;16;6;"2";"Laval University ";"806000";"13900";"Canada";"North America"
"2018";"Bogota";255;53;74;17;26;42;43;"6";"Universidad Nacional de Colombia ";"9800000";"5400";"Colombia";"Latin America"
"2016";"Toulouse";254;76;9;50;68;20;31;"3";"Université Paul Sabatier Toulouse III ";"1292000";"500";"France";"Europe"
"2017";"Bogota";254;55;69;20;25;43;42;"6";"Universidad Nacional de Colombia ";"9800000";"5400";"Colombia";"Latin America"
"2018";"Ankara";253;62;34;20;48;29;60;"5";"Bilkent University ";"5150000";"5300";"Turkey";"Asia"
"2016";"Monterrey";252;74;76;18;31;24;29;"2";"Tecnológico de Monterrey (ITESM)  ";"4520000";"7100";"Mexico";"Latin America"
"2017";"Christchurch";249;38;38;72;69;30;2;"2";"University of Canterbury ";"390000";"21000";"New Zealand";"Oceania"
"2017";"Hsinchu";249;71;44;41;49;38;6;"2";"National Tsing Hua University ";"435000";"2300";"Taiwan";"Asia"
"2018";"Monterrey";249;76;76;7;29;33;28;"2";"Tecnológico de Monterrey (ITESM)  ";"4520000";"7100";"Mexico";"Latin America"
"2017";"Monterrey";247;82;71;13;25;27;29;"2";"Tecnológico de Monterrey (ITESM)  ";"4520000";"7100";"Mexico";"Latin America"
"2017";"Sharjah";245;37;33;41;76;9;49;"3";"American University of Sharjah ";"5600000";"21200";"United Arab Emirates";"Asia"
"2018";"Graz";245;49;42;58;68;9;19;"2";"Karl-Franzens-Universität Graz ";"325000";"1800";"Austria";"Europe"
"2018";"Vilnius";245;81;52;24;38;10;40;"2";"Vilnius University ";"805000";"2800";"Lithuania";"Europe"
"2017";"St. Petersburg";243;81;31;31;33;28;39;"2";"Saint-Petersburg State University ";"4880000";"4600";"Russia";"Europe"
"2018";"Daejeon";243;51;67;31;36;49;9;"2";"KAI - Korea Advanced Initute of Science a Technology";"1535000";"4800";"South Korea";"Asia"
"2017";"Gold Coast";242;28;21;69;79;19;26;"3";"Griffith University ";"614000";"23600";"Australia";"Oceania"
"2016";"Baltimore";241;20;42;51;57;59;12;"2";"Johns Hopkins University ";"2797000";"38000";"United States";"North America"
"2017";"Nanjing";241;43;33;17;27;34;87;"2";"Nanjing University ";"8230000";"3600";"China";"Asia"
"2018";"Gold Coast";239;37;22;61;80;25;14;"3";"Griffith University ";"614000";"23600";"Australia";"Oceania"
"2017";"Ankara";238;56;30;21;43;31;57;"5";"Bilkent University ";"5150000";"5300";"Turkey";"Asia"
"2017";"Daejeon";238;43;70;42;33;48;2;"2";"KAI - Korea Advanced Initute of Science a Technology";"1535000";"4800";"South Korea";"Asia"
"2017";"San Diego";237;22;11;66;56;52;30;"3";"University of California, San Diego (UCSD) ";"3095000";"18700";"United States";"North America"
"2017";"Johannesburg";236;80;24;30;40;17;45;"2";"University of the Witwatersrand ";"4435000";"4000";"South Africa";"Africa"
"2018";"Nanjing";236;59;34;25;32;35;51;"2";"Nanjing University ";"8230000";"3600";"China";"Asia"
"2018";"Quebec";236;46;26;77;69;16;2;"2";"Laval University ";"806000";"13900";"Canada";"North America"
"2018";"Baltimore";235;14;45;49;58;59;10;"2";"Johns Hopkins University ";"2797000";"38000";"United States";"North America"
"2016";"Sharjah";234;50;47;45;82;10;0;"3";"American University of Sharjah ";"5600000";"21200";"United Arab Emirates";"Asia"
"2018";"Valencia";234;65;29;46;62;16;16;"2";"Universidad Politecnica de Valencia ";"1706000";"1600";"Spain";"Europe"
"2017";"Mumbai";231;62;61;29;11;26;42;"2";"Indian Institute of Technology Bombay (IITB)";"18414000";"4000";"India";"Asia"
"2018";"Brighton";231;26;10;49;82;26;38;"2";"University of Sussex ";"289200";"20600";"United Kingdom";"Europe"
"2018";"Nagoya";230;72;28;60;34;35;1;"2";"Nagoya University ";"2200000";"4800";"Japan";"Asia"
"2017";"Baltimore";229;7;42;53;53;60;14;"2";"Johns Hopkins University ";"2797000";"38000";"United States";"North America"
"2018";"Cairo";229;40;44;17;69;24;35;"3";"American University in Cairo ";"20440000";"11100";"Egypt";"Africa"
"2018";"Manila";229;80;25;22;27;27;48;"4";"University of e Philippines ";"12877000";"4000";"Philippines";"Asia"
"2017";"New Delhi";228;73;56;28;4;32;35;"2";"Indian Institute of Technology Delhi (IITD)";"21753000";"4000";"India";"Asia"
"2018";"Novosibirsk";225;84;47;14;43;25;12;"2";"Novosibirsk State University ";"1474000";"4500";"Russia";"Asia"
"2018";"Houston";224;22;28;50;53;46;25;"3";"Rice University ";"6313000";"35000";"United States";"North America"
"2018";"Montpellier";224;69;22;37;78;16;2;"2";"Université de Montpellier ";"268000";"200";"France";"Europe"
"2018";"Mumbai";224;57;65;33;3;33;33;"2";"Indian Institute of Technology Bombay (IITB)";"18414000";"4000";"India";"Asia"
"2017";"Cairo";223;32;39;22;63;21;46;"3";"American University in Cairo ";"20440000";"11100";"Egypt";"Africa"
"2017";"Manila";220;68;26;19;23;27;57;"4";"University of e Philippines ";"12877000";"4000";"Philippines";"Asia"
"2017";"Montpellier";220;68;19;47;67;18;1;"2";"Université de Montpellier ";"268000";"200";"France";"Europe"
"2017";"Tomsk";218;81;28;15;53;22;19;"2";"Tomsk State University ";"525000";"3300";"Russia";"Asia"
"2017";"Houston";217;22;28;56;50;45;16;"3";"Rice University ";"6313000";"35000";"United States";"North America"
"2018";"Miami";217;14;33;66;51;25;28;"2";"University of Miami ";"5500000";"41200";"United States";"North America"
"2018";"Rio de Janeiro";217;48;47;27;31;28;36;"4";"Universidade Federal do Rio de Janeiro ";"12281000";"4100";"Brazil";"Latin America"
"2017";"Novosibirsk";216;70;42;18;38;25;23;"2";"Novosibirsk State University ";"1474000";"4500";"Russia";"Asia"
"2017";"Tampere";212;44;13;75;50;18;12;"2";"Tampere University of Technology ";"364000";"0";"Finland";"Europe"
"2017";"Rio de Janeiro";210;45;45;22;24;28;46;"4";"Universidade Federal do Rio de Janeiro ";"12281000";"4100";"Brazil";"Latin America"
"2017";"Vilnius";208;39;41;23;35;8;62;"2";"Vilnius University ";"805000";"2800";"Lithuania";"Europe"
"2017";"Kiev";204;81;35;9;19;9;51;"2";"Taras Shevchenko National University of Kyiv ";"3375000";"2100";"Ukraine";"Europe"
"2017";"Lille";204;50;32;47;51;10;14;"3";"Université Lille 1, Sciences et Technologie ";"3800000";"200";"France";"Europe"
"2017";"Lima";197;64;51;25;19;16;22;"3";"Pontificia Universidad Católica del Perú ";"9752000";"2700";"Peru";"Latin America"
"2017";"Wuhan";187;52;25;19;30;27;34;"2";"Wuhan University ";"10608000";"5000";"China";"Asia"
