"year";"city";"overall";"rankings";"student_mix";"desirability";"emp_activity";"affordability";"student_view";"unis_Ranked";"highestUniv";"population";"avgIntFees";"country";"continent"
"2017";"London";464;18;94;81;90;100;81;"17";"UCL (University College London) ";"13880000";"21200";"United Kingdom";"Europe"
"2016";"Berlin";463;82;73;92;75;49;92;"3";"Humboldt-Universität zu Berlin ";"6005000";"200";"Germany";"Europe"
"2018";"Paris";463;38;88;80;80;93;84;"18";"ENS Paris ";"12405000";"3400";"France";"Europe"
"2015";"Seoul";462;54;94;66;71;87;90;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
"2018";"Munich";461;67;78;89;74;54;99;"2";"Technische Universität München (64th  in the world)";"2600000";"100";"Germany";"Europe"
"2016";"Singapore";460;56;88;92;82;64;78;"3";"Nanyang Technological University (NTU) ";"5610000";"14400";"Hong Kong";"Asia"
"2017";"Melbourne";460;18;86;97;100;70;89;"7";"University of Melbourne ";"4530000";"23300";"Australia";"Oceania"
"2014";"Seoul";459;62;87;55;72;93;90;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
"2016";"Seoul";459;56;92;68;65;88;90;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
"2017";"Seoul";459;37;96;73;63;96;94;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
"2016";"Munich";457;81;77;85;72;53;89;"2";"Technische Universität München (64th  in the world)";"2600000";"100";"Germany";"Europe"
"2018";"Berlin";457;71;80;88;75;49;94;"3";"Humboldt-Universität zu Berlin ";"6005000";"200";"Germany";"Europe"
"2015";"Toronto";455;51;73;100;90;61;80;"3";"University of Toronto ";"5583000";"22800";"Canada";"North America"
"2018";"Zurich";454;42;90;94;83;63;82;"2";"ETH Zurich ";"1900000";"1900";"Switzerland";"Europe"
"2017";"Berlin";453;73;79;92;70;50;89;"3";"Humboldt-Universität zu Berlin ";"6005000";"200";"Germany";"Europe"
"2018";"Sydney";453;23;84;95;97;64;90;"5";"The University of New South Wales (UNSW) ";"4921000";"26400";"Australia";"Oceania"
"2016";"Hong Kong";452;57;83;84;79;72;77;"7";"University of Hong Kong (HKU) ";"7235000";"16500";"Hong Kong";"Asia"
"2014";"Toronto";451;54;61;92;82;82;80;"3";"University of Toronto ";"5583000";"22800";"Canada";"North America"
"2014";"Tokyo";450;61;91;70;49;92;87;"14";"University of Tokyo ";"37800000";"6700";"Japan";"Asia"
"2017";"Tokyo";450;36;100;98;48;84;84;"14";"University of Tokyo ";"37800000";"6700";"Japan";"Asia"
"2016";"Boston";449;19;96;77;87;78;92;"8";"Massachusetts Institute of Technology (MIT) ";"4629000";"46600";"United States";"North America"
"2018";"Seoul";449;44;92;67;67;93;86;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
"2015";"Berlin";448;74;68;88;77;49;92;"3";"Humboldt-Universität zu Berlin ";"6005000";"200";"Germany";"Europe"
"2015";"Munich";448;72;71;87;75;54;89;"2";"Technische Universität München (64th  in the world)";"2600000";"100";"Germany";"Europe"
"2014";"Dublin";447;42;75;80;92;77;81;"4";"Trinity College Dublin (TCD) ";"1905000";"21000";"Ireland";"Europe"
"2017";"Boston";447;11;94;81;85;81;95;"8";"Massachusetts Institute of Technology (MIT) ";"4629000";"46600";"United States";"North America"
"2018";"Vienna";446;62;68;92;91;39;94;"2";"University of Vienna ";"2600000";"1200";"Austria";"Europe"
"2017";"Munich";444;68;80;91;72;55;78;"2";"Technische Universität München (64th  in the world)";"2600000";"100";"Germany";"Europe"
"2014";"Vienna";443;68;65;100;88;45;77;"2";"University of Vienna ";"2600000";"1200";"Austria";"Europe"
"2018";"Hong Kong";443;53;78;78;78;72;84;"7";"University of Hong Kong (HKU) ";"7235000";"16500";"Hong Kong";"Asia"
"2014";"New York";442;44;77;73;65;95;88;"10";"Columbia University ";"19796000";"37600";"United States";"North America"
"2018";"Boston";442;13;93;84;86;78;88;"8";"Massachusetts Institute of Technology (MIT) ";"4629000";"46600";"United States";"North America"
"2018";"Toronto";441;36;71;100;91;53;90;"3";"University of Toronto ";"5583000";"22800";"Canada";"North America"
"2015";"New York";440;37;86;70;77;82;88;"10";"Columbia University ";"19796000";"37600";"United States";"North America"
"2018";"Singapore";440;32;88;92;81;64;83;"3";"Nanyang Technological University (NTU) ";"5610000";"14400";"Hong Kong";"Asia"
"2015";"Vancouver";438;53;79;91;90;51;74;"2";"University of British Columbia ";"2313000";"25200";"Canada";"North America"
"2015";"Zurich";437;55;77;95;82;61;67;"2";"ETH Zurich ";"1900000";"1900";"Switzerland";"Europe"
"2016";"Toronto";437;47;73;99;88;50;80;"3";"University of Toronto ";"5583000";"22800";"Canada";"North America"
"2016";"Zurich";436;44;82;96;83;64;67;"2";"ETH Zurich ";"1900000";"1900";"Switzerland";"Europe"
"2015";"Singapore";435;52;85;81;75;64;78;"3";"Nanyang Technological University (NTU) ";"5610000";"14400";"Hong Kong";"Asia"
"2016";"Vienna";434;78;55;99;88;37;77;"2";"University of Vienna ";"2600000";"1200";"Austria";"Europe"
"2014";"Brisbane";432;43;73;60;92;75;89;"3";"University of Queensland ";"2309000";"23600";"Australia";"Oceania"
"2016";"Vancouver";431;50;71;94;92;50;74;"2";"University of British Columbia ";"2313000";"25200";"Canada";"North America"
"2014";"Copenhagen";430;35;86;89;67;78;75;"3";"University of Copenhagen ";"2016000";"16200";"Denmark";"Europe"
"2014";"San Francisco";430;50;82;81;65;94;58;"4";"Stanford University ";"4656000";"43500";"United States";"North America"
"2017";"Vancouver";430;48;74;97;91;52;68;"2";"University of British Columbia ";"2313000";"25200";"Canada";"North America"
"2016";"Brisbane";429;51;67;78;90;54;89;"3";"University of Queensland ";"2309000";"23600";"Australia";"Oceania"
"2017";"Hong Kong";429;47;81;80;77;74;70;"7";"University of Hong Kong (HKU) ";"7235000";"16500";"Hong Kong";"Asia"
"2017";"Toronto";429;43;73;100;91;53;69;"3";"University of Toronto ";"5583000";"22800";"Canada";"North America"
"2014";"Vancouver";428;60;52;93;84;65;74;"2";"University of British Columbia ";"2313000";"25200";"Canada";"North America"
"2014";"Barcelona";427;57;81;68;71;70;80;"4";"University of Barcelona ";"5376000";"7900";"Spain";"Europe"
"2014";"Taipei";427;88;72;51;45;81;90;"8";"National Taiwan University (NTU) ";"8500000";"4600";"Taiwan";"Asia"
"2015";"Barcelona";426;69;77;69;80;51;80;"4";"University of Barcelona ";"5376000";"7900";"Spain";"Europe"
"2016";"Kyoto-Osaka-Kobe";426;67;80;81;41;67;90;"7";"Kyoto University ";"19342000";"6500";"Japan";"Asia"
"2014";"Beijing";425;69;90;55;57;88;66;"9";"Tsinghua University ";"24900000";"5700";"China";"Asia"
"2016";"Canberra";424;54;70;78;84;57;81;"2";"Australian National University ";"381000";"26400";"Australia";"Oceania"
"2016";"New York";424;18;85;77;77;79;88;"10";"Columbia University ";"19796000";"37600";"United States";"North America"
"2014";"Auckland";423;56;79;91;78;55;64;"2";"University of Auckland ";"1614000";"22500";"New Zealand";"Oceania"
"2014";"Edinburgh";422;55;69;36;96;75;91;"3";"University of Edinburgh ";"1339000";"28000";"United Kingdom";"Europe"
"2015";"Brisbane";422;40;63;83;93;54;89;"3";"University of Queensland ";"2309000";"23600";"Australia";"Oceania"
"2017";"Sydney";422;12;85;100;95;65;65;"5";"The University of New South Wales (UNSW) ";"4921000";"26400";"Australia";"Oceania"
"2014";"Shanghai";421;77;79;59;38;76;92;"7";"Fudan University ";"34000000";"4200";"China";"Asia"
"2017";"Singapore";420;30;83;90;79;66;72;"3";"Nanyang Technological University (NTU) ";"5610000";"14400";"Hong Kong";"Asia"
"2014";"Milan";419;59;96;70;67;55;72;"5";"Politecnico di Milano ";"1360000";"5900";"Italy";"Europe"
"2015";"Edinburgh";419;43;64;68;94;59;91;"3";"University of Edinburgh ";"1339000";"28000";"United Kingdom";"Europe"
"2015";"Taipei";419;83;64;65;52;65;90;"8";"National Taiwan University (NTU) ";"8500000";"4600";"Taiwan";"Asia"
"2015";"San Francisco";418;44;98;70;79;69;58;"4";"Stanford University ";"4656000";"43500";"United States";"North America"
"2015";"Canberra";417;42;69;82;86;57;81;"2";"Australian National University ";"381000";"26400";"Australia";"Oceania"
"2018";"Edinburgh";417;37;65;71;91;61;92;"3";"University of Edinburgh ";"1339000";"28000";"United Kingdom";"Europe"
"2014";"Manchester";416;61;67;44;92;71;81;"3";"University of Manchester ";"2794000";"16100";"United Kingdom";"Europe"
"2015";"Vienna";415;74;50;94;86;34;77;"2";"University of Vienna ";"2600000";"1200";"Austria";"Europe"
"2018";"New York";414;9;79;80;76;77;93;"10";"Columbia University ";"19796000";"37600";"United States";"North America"
"2018";"Vancouver";414;32;73;90;93;47;79;"2";"University of British Columbia ";"2313000";"25200";"Canada";"North America"
"2017";"Zurich";413;34;85;97;80;65;52;"2";"ETH Zurich ";"1900000";"1900";"Switzerland";"Europe"
"2018";"Kyoto-Osaka-Kobe";413;59;80;76;45;67;86;"7";"Kyoto University ";"19342000";"6500";"Japan";"Asia"
"2015";"Shanghai";412;66;83;58;52;61;92;"7";"Fudan University ";"34000000";"4200";"China";"Asia"
"2014";"Stockholm";410;33;88;88;64;65;72;"4";"KTH Royal Institute of Technology ";"2100000";"23800";"Sweden";"Europe"
"2016";"Taipei";410;82;66;60;48;64;90;"8";"National Taiwan University (NTU) ";"8500000";"4600";"Taiwan";"Asia"
"2017";"Vienna";409;59;68;97;88;38;59;"2";"University of Vienna ";"2600000";"1200";"Austria";"Europe"
"2018";"Brisbane";407;37;61;75;91;54;89;"3";"University of Queensland ";"2309000";"23600";"Australia";"Oceania"
"2018";"Taipei";407;78;68;56;53;65;87;"8";"National Taiwan University (NTU) ";"8500000";"4600";"Taiwan";"Asia"
"2015";"Buenos Aires";406;63;88;49;75;57;74;"9";"Universidad de Buenos Aires ";"12741000";"5100";"Argentina";"Latin America"
"2017";"Kyoto-Osaka-Kobe";406;42;79;84;38;69;94;"7";"Kyoto University ";"19342000";"6500";"Japan";"Asia"
"2015";"Manchester";405;43;78;61;90;52;81;"3";"University of Manchester ";"2794000";"16100";"United Kingdom";"Europe"
"2018";"Canberra";405;34;66;75;86;57;87;"2";"Australian National University ";"381000";"26400";"Australia";"Oceania"
"2014";"Buenos Aires";404;68;83;55;64;60;74;"9";"Universidad de Buenos Aires ";"12741000";"5100";"Argentina";"Latin America"
"2014";"Perth";404;46;56;73;93;66;70;"3";"University of Western Australia (UWA) ";"2039000";"24900";"Australia";"Oceania"
"2016";"Auckland";403;50;73;81;94;41;64;"2";"University of Auckland ";"1614000";"22500";"New Zealand";"Oceania"
"2017";"Edinburgh";403;32;61;75;85;60;90;"3";"University of Edinburgh ";"1339000";"28000";"United Kingdom";"Europe"
"2015";"Copenhagen";402;33;73;87;78;56;75;"3";"University of Copenhagen ";"2016000";"16200";"Denmark";"Europe"
"2018";"Auckland";402;39;62;85;95;44;77;"2";"University of Auckland ";"1614000";"22500";"New Zealand";"Oceania"
"2015";"Dublin";401;42;61;64;98;55;81;"4";"Trinity College Dublin (TCD) ";"1905000";"21000";"Ireland";"Europe"
"2017";"New York";400;6;80;78;75;79;82;"10";"Columbia University ";"19796000";"37600";"United States";"North America"
"2014";"Chicago";399;68;52;73;61;95;50;"5";"University of Chicago ";"9551000";"40700";"United States";"North America"
"2018";"Manchester";399;44;70;58;89;52;86;"3";"University of Manchester ";"2794000";"16100";"United Kingdom";"Europe"
"2015";"Auckland";398;36;79;85;94;40;64;"2";"University of Auckland ";"1614000";"22500";"New Zealand";"Oceania"
"2014";"Madrid";397;64;77;69;62;60;65;"4";"Universidad Autónoma de Madrid ";"6489000";"6700";"Spain";"Europe"
"2015";"Chicago";397;48;77;75;77;70;50;"5";"University of Chicago ";"9551000";"40700";"United States";"North America"
"2014";"Canberra";396;44;75;55;77;64;81;"2";"Australian National University ";"381000";"26400";"Australia";"Oceania"
"2016";"Edinburgh";396;22;66;69;89;59;91;"3";"University of Edinburgh ";"1339000";"28000";"United Kingdom";"Europe"
"2017";"Brisbane";396;24;58;83;91;51;89;"3";"University of Queensland ";"2309000";"23600";"Australia";"Oceania"
"2017";"Taipei";396;70;61;59;47;67;92;"8";"National Taiwan University (NTU) ";"8500000";"4600";"Taiwan";"Asia"
"2018";"Buenos Aires";396;34;80;45;78;66;93;"9";"Universidad de Buenos Aires ";"12741000";"5100";"Argentina";"Latin America"
"2014";"Amsterdam";395;40;61;94;57;64;79;"2";"University of Amsterdam ";"2431000";"10600";"Netherlands";"Europe"
"2015";"Beijing";394;64;92;53;51;68;66;"9";"Tsinghua University ";"24900000";"5700";"China";"Asia"
"2014";"Brussels";392;75;46;87;75;47;62;"2";"Vrije Universiteit Brussel (VUB) ";"1830000";"2400";"Belgium";"Europe"
"2018";"Beijing";392;49;91;50;51;79;72;"9";"Tsinghua University ";"24900000";"5700";"China";"Asia"
"2014";"Prague";391;55;67;48;80;43;98;"3";"Charles University ";"2156000";"4700";"Czech Republic";"Europe"
"2015";"Amsterdam";391;48;60;86;65;53;79;"2";"University of Amsterdam ";"2431000";"10600";"Netherlands";"Europe"
"2015";"Stockholm";390;31;80;91;70;46;72;"4";"KTH Royal Institute of Technology ";"2100000";"23800";"Sweden";"Europe"
"2016";"Prague";390;69;53;67;74;29;98;"3";"Charles University ";"2156000";"4700";"Czech Republic";"Europe"
"2018";"Amsterdam";390;30;64;95;60;47;94;"2";"University of Amsterdam ";"2431000";"10600";"Netherlands";"Europe"
"2016";"Amsterdam";389;48;59;93;61;49;79;"2";"University of Amsterdam ";"2431000";"10600";"Netherlands";"Europe"
"2017";"Canberra";389;29;61;83;83;58;75;"2";"Australian National University ";"381000";"26400";"Australia";"Oceania"
"2018";"Moscow";389;62;85;39;59;67;77;"9";"Lomonosov Moscow State University ";"12198000";"5500";"Russia";"Europe"
"2016";"Barcelona";388;73;52;66;68;49;80;"4";"University of Barcelona ";"5376000";"7900";"Spain";"Europe"
"2016";"Stockholm";388;34;75;90;64;53;72;"4";"KTH Royal Institute of Technology ";"2100000";"23800";"Sweden";"Europe"
"2016";"Copenhagen";387;23;69;90;78;52;75;"3";"University of Copenhagen ";"2016000";"16200";"Denmark";"Europe"
"2015";"Milan";385;53;90;61;71;38;72;"5";"Politecnico di Milano ";"1360000";"5900";"Italy";"Europe"
"2015";"Prague";385;67;55;61;76;28;98;"3";"Charles University ";"2156000";"4700";"Czech Republic";"Europe"
"2016";"Madrid";385;76;54;74;76;40;65;"4";"Universidad Autónoma de Madrid ";"6489000";"6700";"Spain";"Europe"
"2018";"Shanghai";385;56;81;47;49;67;85;"7";"Fudan University ";"34000000";"4200";"China";"Asia"
"2016";"Beijing";384;57;94;50;46;71;66;"9";"Tsinghua University ";"24900000";"5700";"China";"Asia"
"2016";"Shanghai";384;57;87;50;36;62;92;"7";"Fudan University ";"34000000";"4200";"China";"Asia"
"2017";"Manchester";384;37;67;65;87;53;75;"3";"University of Manchester ";"2794000";"16100";"United Kingdom";"Europe"
"2017";"Barcelona";383;61;62;71;69;45;75;"4";"University of Barcelona ";"5376000";"7900";"Spain";"Europe"
"2014";"Moscow";382;63;60;55;63;68;73;"9";"Lomonosov Moscow State University ";"12198000";"5500";"Russia";"Europe"
"2015";"Adelaide";382;42;60;85;91;46;58;"3";"University of Adelaide ";"1317000";"25400";"Australia";"Oceania"
"2016";"Dublin";382;32;57;69;88;55;81;"4";"Trinity College Dublin (TCD) ";"1905000";"21000";"Ireland";"Europe"
"2018";"Barcelona";382;39;66;70;73;50;84;"4";"University of Barcelona ";"5376000";"7900";"Spain";"Europe"
"2018";"Prague";382;57;65;63;74;26;97;"3";"Charles University ";"2156000";"4700";"Czech Republic";"Europe"
"2015";"Washington DC";381;49;65;69;71;52;75;"5";"University of Maryland, College Park ";"6098000";"39600";"United States";"North America"
"2015";"Perth";380;38;49;84;93;46;70;"3";"University of Western Australia (UWA) ";"2039000";"24900";"Australia";"Oceania"
"2016";"Buenos Aires";380;45;90;41;75;55;74;"9";"Universidad de Buenos Aires ";"12741000";"5100";"Argentina";"Latin America"
"2018";"Madrid";380;41;68;68;76;45;82;"4";"Universidad Autónoma de Madrid ";"6489000";"6700";"Spain";"Europe"
"2016";"Manchester";379;25;76;59;88;50;81;"3";"University of Manchester ";"2794000";"16100";"United Kingdom";"Europe"
"2014";"Washington DC";378;53;49;69;62;70;75;"5";"University of Maryland, College Park ";"6098000";"39600";"United States";"North America"
"2017";"Shanghai";378;48;82;39;44;67;98;"7";"Fudan University ";"34000000";"4200";"China";"Asia"
"2018";"Dublin";377;13;73;69;86;55;81;"4";"Trinity College Dublin (TCD) ";"1905000";"21000";"Ireland";"Europe"
